,Title,Year,Age,IMDb
372,The Universe,2007,16+,8.8
373,The Chalet,2018,18+,7
374,My Next Guest Needs No Introduction With David Letterman,2018,18+,7.9
375,Still Game,2002,16+,8.9
376,NOVA,1974,7+,8.7
377,The Confession Killer,2019,16+,7.4
378,Father Brown,2013,7+,7.7
379,Bordertown,2016,7+,7.6
380,Battle Creek,2015,16+,7.3
381,Valhalla Murders,2019,18+,7.1
382,Scream: The TV Series,2015,16+,7.2
383,Special,2019,18+,7.6
384,CSI: Miami,2002,16+,6.4
385,3Below: Tales of Arcadia,2018,7+,7.8
386,Mystery Science Theater 3000: The Return,2017,16+,8
387,Dear White People,2017,16+,6.2
388,LEGO Ninjago: Masters of Spinjitzu,2012,all,6.8
389,The English Game,2020,,7.6
390,White Gold,2017,18+,7.4
391,Crazyhead,2016,,7.3
392,The Protector,2018,16+,6.9
393,Dirty John,2018,16+,7.1
394,Get Shorty,2017,18+,8.2
395,30 for 30,2009,7+,8.8
396,Bard of Blood,2019,,7
397,The Great Train Robbery,2013,,7.4
398,Devilman: Crybaby,2018,,7.6
399,Good Witch,2015,7+,7.3
400,It's Bruno!,2019,7+,7.5
401,Gurren Lagann,2007,16+,8.3
402,Gentefied,2020,16+,7.3
403,Victorious,2010,7+,6.9
404,Dynasty,2017,16+,7.3
405,The Curious Creations of Christine McConnell,2018,7+,7.7
406,El Chapo,2017,16+,7.8
407,Trinkets,2019,7+,7.1
408,The Get Down,2016,16+,8.3
409,Masum,2017,16+,8.5
410,My Little Pony: Friendship Is Magic,2010,7+,7.6
411,Fuller House,2016,7+,6.8
412,Kill la Kill,2013,18+,7.9
413,Dark Tourist,2018,18+,7.6
414,Shtisel,2013,,8.7
415,Great News,2017,7+,7
416,Ouran High School Host Club,2006,16+,8.2
417,Grand Hotel,2011,7+,8.4
418,The Curse of Oak Island,2014,7+,7
419,Workin' Moms,2017,18+,7.5
420,Z Nation,2014,18+,6.7
421,Losers,2019,,7.7
422,"Roswell, New Mexico",2019,16+,6.1
423,Comedians in Cars Getting Coffee,2012,16+,8.1
424,Conan,2010,16+,8.1
425,The Guild,2007,,8.2
426,Friends from College,2017,18+,6.8
427,Wormwood,2017,16+,7
428,Watership Down,2018,7+,7.2
429,Mr. Sunshine,2018,,8.8
430,Bitten,2014,16+,7
431,No Game No Life,2014,16+,7.9
432,Violet Evergarden,2018,16+,8.4
433,Clannad,2007,7+,7.9
434,Gypsy,2017,18+,6.9
435,Virgin River,2019,16+,7.5
436,Gilmore Girls: A Year in the Life,2016,16+,7.7
437,The Innocent Man,2018,18+,7.4
438,Tuca & Bertie,2019,16+,7.4
439,#blackAF,2020,18+,6.6
440,Lovesick,2014,18+,8.1
441,Mr. Iglesias,2019,16+,7.1
442,Hot Girls Wanted: Turned On,2017,18+,6.7
443,Borgia,2011,18+,7.8
444,Trollhunters: Tales of Arcadia,2016,7+,8.4
445,La Reina del Sur,2011,18+,8.1
446,We Bare Bears,2015,7+,7.9
447,Liv and Maddie,2013,all,6.3
448,In the Dark,2019,16+,7.3
449,The Gift,2019,,7.6
450,The Time in Between,2013,7+,8.4
451,Cleverman,2016,16+,6.4
452,"Pablo Escobar, The Drug Lord",2012,18+,8.5
453,The Pharmacist,2020,,7.8
454,Wet Hot American Summer: First Day of Camp,2015,16+,7.4
455,Vampire Knight,2008,16+,7.5
456,The Untamed,2019,7+,8.9
457,How to Sell Drugs Online (Fast),2019,,7.9
458,Taken,2017,16+,6.6
459,Transformers: Prime,2010,7+,7.8
460,Forensic Files,1996,16+,8.8
461,Paradise PD,2018,18+,7
462,The House of Flowers,2018,18+,7.7
463,Quicksand,2019,18+,7.5
464,Magnificent Century,2011,,6.6
465,The Messengers,2015,16+,6.5
466,Magi,2012,16+,7.9
467,Car Masters: Rust to Riches,2018,,8.9
468,Patriot Act with Hasan Minhaj,2018,18+,8.2
469,Damnation,2017,18+,7.7
470,Jericho,2006,16+,7.2
471,American Odyssey,2015,16+,7.3
472,Lab Rats,2012,7+,6.6
473,Little Things,2016,18+,8.3
474,From Dusk Till Dawn: The Series,2014,18+,6.9
475,Grand Designs,1999,7+,8.5
476,Explained,2018,16+,8
477,Rhythm + Flow,2019,18+,7.6
478,Carole & Tuesday,2019,7+,7.9
479,Teresa,2010,7+,7.7
480,The Innocents,2018,,6.3
481,Tabula Rasa,2017,18+,8.1
482,Seis Manos,2019,18+,7.3
483,The King: Eternal Monarch,2020,,8.5
484,Cable Girls,2017,16+,7.7
485,Lady Dynamite,2016,16+,7.4
486,Sunderland 'Til I Die,2018,18+,8.2
487,Oliver Stone's Untold History of the United States,2012,all,8.6
488,Toy Boy,2019,18+,6.5
489,Humsafar,2011,all,9
490,Crashing,2016,,7.7
491,Norsemen,2016,18+,7.8
492,AJ and the Queen,2020,,7.6
493,El marginal,2016,18+,8.2
494,Giri/Haji,2019,,7.9
495,Van Helsing,2016,16+,6.2
496,Hinterland,2013,,7.6
497,Crossing Lines,2013,16+,7.3
498,The Eddy,2020,18+,7
499,A.D. The Bible Continues,2015,16+,7.4
500,The Letter for the King,2020,7+,5.9
501,The Boat,2011,all,7.3
502,Is It Wrong to Try to Pick Up Girls in a Dungeon?,2015,16+,7.4
503,The Story of God with Morgan Freeman,2016,16+,7.9
504,Greenhouse Academy,2017,7+,7
505,Diagnosis,2019,18+,7.8
506,W/ Bob & David,2015,18+,7.4
507,Queen Sono,2020,18+,5.8
508,Rotten,2018,18+,7.1
509,Requiem,2018,18+,6.5
510,Aggretsuko,2018,16+,8
511,The Code,2011,,7.4
512,October Faction,2020,18+,6.1
513,Rubí,2004,7+,8.1
514,Arthdal Chronicles,2019,,8.3
515,The New Legends of Monkey,2018,7+,6.5
516,America's Funniest Home Videos,1989,7+,6.2
517,The Five,2016,,7.7
518,Something in the Rain,2018,7+,8.1
519,Adam Ruins Everything,2015,16+,8
520,The Heirs,2013,16+,7.5
521,Durarara!!,2010,16+,7.9
522,Beastars,2019,16+,8
523,Puella Magi Madoka Magica,2011,16+,8.3
524,Vagabond,2019,,8.3
525,Maid Sama!,2010,16+,8
526,Robotech,1985,7+,8.5
527,"The Mind, Explained",2019,16+,8.1
528,Boys Over Flowers,2009,16+,8
529,V Wars,2019,18+,6.1
530,Occupied,2015,16+,7.7
531,The Devil Is a Part-Timer!,2013,16+,7.7
532,The Letdown,2017,,7.5
533,Mischievous Kiss: Love in Tokyo,2013,,7.8
534,Power Rangers,1993,7+,6.4
535,Fate/stay night [Unlimited Blade Works],2014,18+,8
536,Bobby Kennedy for President,2018,16+,8.2
537,The Mist,2017,18+,5.4
538,Hip Hop Evolution,2016,16+,8.4
539,Justice League Unlimited,2004,,8.7
540,Undercover,2019,18+,7.9
